"dept_no","emp_no","first_name","last_name","dept_name"
"d001",110022,"Margareta","Markovitch","Marketing"
"d001",110039,"Vishwani","Minakawa","Marketing"
"d002",110085,"Ebru","Alpin","Finance"
"d002",110114,"Isamu","Legleitner","Finance"
"d003",110183,"Shirish","Ossenbruggen","Human Resources"
"d003",110228,"Karsten","Sigstam","Human Resources"
"d004",110303,"Krassimir","Wegerle","Production"
"d004",110344,"Rosine","Cools","Production"
"d004",110386,"Shem","Kieras","Production"
"d004",110420,"Oscar","Ghazalie","Production"
"d005",110511,"DeForest","Hagimont","Development"
"d005",110567,"Leon","DasSarma","Development"
"d006",110725,"Peternela","Onuegbe","Quality Management"
"d006",110765,"Rutger","Hofmeyr","Quality Management"
"d006",110800,"Sanjoy","Quadeer","Quality Management"
"d006",110854,"Dung","Pesch","Quality Management"
"d007",111035,"Przemyslawa","Kaelbling","Sales"
"d007",111133,"Hauke","Zhang","Sales"
"d008",111400,"Arie","Staelin","Research"
"d008",111534,"Hilary","Kambil","Research"
"d009",111692,"Tonny","Butterworth","Customer Service"
"d009",111784,"Marjo","Giarratana","Customer Service"
"d009",111877,"Xiaobin","Spinelli","Customer Service"
"d009",111939,"Yuchang","Weedman","Customer Service"
